[17-Dec-2014 13:49:33 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 13
[17-Dec-2014 13:49:33 UTC] PHP Warning:  include(__SITE_PATH/application/template.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/includes/init.php on line 13
[17-Dec-2014 13:49:33 UTC] PHP Warning:  include(): Failed opening '__SITE_PATH/application/template.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/includes/init.php on line 13
[17-Dec-2014 13:49:33 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 18
[17-Dec-2014 13:49:33 UTC] PHP Fatal error:  Class 'registry' not found in /home/ubuntu/workspace/includes/init.php on line 28
[17-Dec-2014 13:49:34 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 4
[17-Dec-2014 13:49:34 UTC] PHP Warning:  include(__SITE_PATH/application/controller_base.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/includes/init.php on line 4
[17-Dec-2014 13:49:34 UTC] PHP Warning:  include(): Failed opening '__SITE_PATH/application/controller_base.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/includes/init.php on line 4
[17-Dec-2014 13:49:34 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 7
[17-Dec-2014 13:49:34 UTC] PHP Warning:  include(__SITE_PATH/application/registry.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/includes/init.php on line 7
[17-Dec-2014 13:49:34 UTC] PHP Warning:  include(): Failed opening '__SITE_PATH/application/registry.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/includes/init.php on line 7
[17-Dec-2014 13:49:34 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 10
[17-Dec-2014 13:49:34 UTC] PHP Warning:  include(__SITE_PATH/application/router.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/includes/init.php on line 10
[17-Dec-2014 13:49:34 UTC] PHP Warning:  include(): Failed opening '__SITE_PATH/application/router.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/includes/init.php on line 10
[17-Dec-2014 13:49:34 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 13
[17-Dec-2014 13:49:34 UTC] PHP Warning:  include(__SITE_PATH/application/template.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/includes/init.php on line 13
[17-Dec-2014 13:49:34 UTC] PHP Warning:  include(): Failed opening '__SITE_PATH/application/template.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/includes/init.php on line 13
[17-Dec-2014 13:49:34 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 18
[17-Dec-2014 13:49:34 UTC] PHP Fatal error:  Class 'registry' not found in /home/ubuntu/workspace/includes/init.php on line 28
[17-Dec-2014 13:49:35 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 4
[17-Dec-2014 13:49:35 UTC] PHP Warning:  include(__SITE_PATH/application/controller_base.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/includes/init.php on line 4
[17-Dec-2014 13:49:35 UTC] PHP Warning:  include(): Failed opening '__SITE_PATH/application/controller_base.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/includes/init.php on line 4
[17-Dec-2014 13:49:35 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 7
[17-Dec-2014 13:49:35 UTC] PHP Warning:  include(__SITE_PATH/application/registry.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/includes/init.php on line 7
[17-Dec-2014 13:49:35 UTC] PHP Warning:  include(): Failed opening '__SITE_PATH/application/registry.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/includes/init.php on line 7
[17-Dec-2014 13:49:35 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 10
[17-Dec-2014 13:49:35 UTC] PHP Warning:  include(__SITE_PATH/application/router.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/includes/init.php on line 10
[17-Dec-2014 13:49:35 UTC] PHP Warning:  include(): Failed opening '__SITE_PATH/application/router.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/includes/init.php on line 10
[17-Dec-2014 13:49:35 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 13
[17-Dec-2014 13:49:35 UTC] PHP Warning:  include(__SITE_PATH/application/template.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/includes/init.php on line 13
[17-Dec-2014 13:49:35 UTC] PHP Warning:  include(): Failed opening '__SITE_PATH/application/template.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/includes/init.php on line 13
[17-Dec-2014 13:49:35 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 18
[17-Dec-2014 13:49:35 UTC] PHP Fatal error:  Class 'registry' not found in /home/ubuntu/workspace/includes/init.php on line 28
[17-Dec-2014 14:09:38 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 4
[17-Dec-2014 14:09:38 UTC] PHP Warning:  include(__SITE_PATH/application/controller_base.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/includes/init.php on line 4
[17-Dec-2014 14:09:38 UTC] PHP Warning:  include(): Failed opening '__SITE_PATH/application/controller_base.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/includes/init.php on line 4
[17-Dec-2014 14:09:38 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 7
[17-Dec-2014 14:09:38 UTC] PHP Warning:  include(__SITE_PATH/application/registry.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/includes/init.php on line 7
[17-Dec-2014 14:09:38 UTC] PHP Warning:  include(): Failed opening '__SITE_PATH/application/registry.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/includes/init.php on line 7
[17-Dec-2014 14:09:38 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 10
[17-Dec-2014 14:09:38 UTC] PHP Warning:  include(__SITE_PATH/application/router.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/includes/init.php on line 10
[17-Dec-2014 14:09:38 UTC] PHP Warning:  include(): Failed opening '__SITE_PATH/application/router.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/includes/init.php on line 10
[17-Dec-2014 14:09:38 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 13
[17-Dec-2014 14:09:38 UTC] PHP Warning:  include(__SITE_PATH/application/template.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/includes/init.php on line 13
